K,noise_percent,iterations,converged,initial_acc,final_acc
10,25.0,2,True,0.09876543209876543,0.09876543209876543
10,25.0,2,True,0.09876543209876543,0.09876543209876543
10,25.0,4,True,0.14814814814814814,0.13580246913580246
10,25.0,2,True,0.14814814814814814,0.14814814814814814
10,25.0,3,True,0.1111111111111111,0.06172839506172839
10,25.0,2,True,0.08641975308641975,0.08641975308641975
10,25.0,2,True,1.0,1.0
10,25.0,3,True,0.20987654320987653,0.07407407407407407
10,25.0,5,True,0.07407407407407407,0.12345679012345678
10,25.0,5,True,0.1111111111111111,0.08641975308641975
10,25.0,2,True,1.0,1.0
10,25.0,8,True,0.18518518518518517,0.1111111111111111
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,4,True,0.07407407407407407,0.16049382716049382
10,25.0,5,True,0.07407407407407407,0.12345679012345678
10,25.0,3,True,0.1111111111111111,0.08641975308641975
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,4,True,0.19753086419753085,0.2345679012345679
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,3,True,0.08641975308641975,0.14814814814814814
10,25.0,2,True,0.07407407407407407,0.07407407407407407
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,4,True,0.07407407407407407,0.04938271604938271
10,25.0,9,True,0.32098765432098764,0.08641975308641975
10,25.0,7,True,0.037037037037037035,0.16049382716049382
10,25.0,3,True,0.1111111111111111,0.08641975308641975
10,25.0,2,True,1.0,1.0
10,25.0,6,True,0.32098765432098764,0.12345679012345678
10,25.0,2,True,0.09876543209876543,0.09876543209876543
10,25.0,5,True,0.13580246913580246,0.12345679012345678
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,2,True,1.0,1.0
10,25.0,5,True,0.12345679012345678,0.12345679012345678
10,25.0,5,True,0.18518518518518517,0.08641975308641975
10,25.0,4,True,0.1111111111111111,0.1728395061728395
10,25.0,4,True,0.14814814814814814,0.09876543209876543
10,25.0,2,True,0.07407407407407407,0.07407407407407407
10,30.0,3,True,0.2222222222222222,0.20987654320987653
10,30.0,3,True,0.13580246913580246,0.1728395061728395
10,30.0,5,True,0.20987654320987653,0.09876543209876543
10,30.0,6,True,0.1728395061728395,0.09876543209876543
10,30.0,2,True,0.07407407407407407,0.07407407407407407
10,30.0,3,True,0.07407407407407407,0.13580246913580246
10,30.0,4,True,0.1111111111111111,0.06172839506172839
10,30.0,3,True,0.12345679012345678,0.1111111111111111
10,30.0,6,True,0.20987654320987653,0.037037037037037035
10,30.0,2,True,0.16049382716049382,0.16049382716049382
10,30.0,2,True,0.04938271604938271,0.04938271604938271
10,30.0,11,True,0.14814814814814814,0.08641975308641975
10,30.0,8,True,0.07407407407407407,0.07407407407407407
10,30.0,3,True,0.09876543209876543,0.06172839506172839
10,30.0,10,True,0.1111111111111111,0.1111111111111111
10,30.0,2,True,0.1111111111111111,0.1111111111111111
10,30.0,2,True,0.1111111111111111,0.1111111111111111
10,30.0,4,True,0.14814814814814814,0.13580246913580246
10,30.0,4,True,0.14814814814814814,0.14814814814814814
10,30.0,6,True,0.16049382716049382,0.04938271604938271
10,30.0,2,True,1.0,1.0
10,30.0,4,True,0.12345679012345678,0.1111111111111111
10,30.0,3,True,0.08641975308641975,0.19753086419753085
10,30.0,5,True,0.12345679012345678,0.08641975308641975
10,30.0,2,True,0.14814814814814814,0.14814814814814814
10,30.0,2,True,0.1111111111111111,0.1111111111111111
10,30.0,2,True,1.0,1.0
10,30.0,3,True,0.07407407407407407,0.1111111111111111
10,30.0,2,True,0.13580246913580246,0.13580246913580246
10,30.0,2,True,1.0,1.0
