M,noise_percent,readout,ridge_solve_seconds,digit_cell_accuracy,coincidence_recall,coincidence_accuracy,coincidence_correlation,feedback_overlap_fraction,feedback_target_probability,feedback_top1_accuracy
100,0.0,regression,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,0.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,2.0,regression,0.019009828567504883,0.13938271604938252,0.7748148148148144,0.8222716049382719,0.45756656215011576,0.4043333333333333,0.8400912143625606,0.9
100,2.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.0,regression,0.019009828567504883,0.11111111111111088,0.9529938271604937,0.4218703703703708,0.20934342373249556,0.3155999999999998,0.07610438393091826,0.11
100,5.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,10.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.31213333333333326,0.009999999999999998,0.01
100,10.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,15.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31213333333333326,0.01,0.01
100,15.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,20.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.31213333333333326,0.01,0.01
100,20.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,30.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3121333333333334,0.010000000000000004,0.01
100,30.0,attention,0.019009828567504883,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,50.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31213333333333326,0.01,0.01
100,50.0,attention,0.019009828567504883,0.10962962962962956,0.2485493827160494,0.7646666666666665,0.05417457051185921,0.2236,0.004651814129702443,0.01
100,75.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987449,0.31213333333333326,0.010000000000000007,0.01
100,75.0,attention,0.019009828567504883,0.10740740740740744,0.24046296296296304,0.7664938271604939,0.050229755731450255,0.2194666666666667,0.004557659921047158,0.0
100,100.0,regression,0.019009828567504883,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.31213333333333326,0.010000000000000004,0.01
100,100.0,attention,0.019009828567504883,0.10901234567901237,0.2908024691358024,0.7357376543209877,0.05444903380844961,0.22279999999999991,0.004116426566410327,0.0
200,0.0,regression,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,2.0,regression,0.03819990158081055,0.12617283950617264,0.6847222222222221,0.793367283950617,0.3615348232471353,0.36339999999999995,0.5964812221402509,0.74
200,2.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,5.0,regression,0.03819990158081055,0.11111111111111088,0.9544444444444443,0.396882716049383,0.1941198750893386,0.3144666666666666,0.017061154904573946,0.02
200,5.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,10.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3145333333333332,0.004382259124465265,0.0
200,10.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,15.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3205333333333333,0.004903411298560224,0.0
200,15.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,20.0,regression,0.03819990158081055,0.11111111111111088,1.0,0.35000000000000064,0.19245008972987446,0.3158666666666666,0.006179029666435488,0.01
200,20.0,attention,0.03819990158081055,1.0,1.0,1.0,1.0,1.0,1.0,1.0
