target,corrupt_frac,input_jaccard,engram_overlap
196,0.15,0.36304062909567497,0.44666666666666666
196,0.2,0.2879120879120879,0.32666666666666666
196,0.25,0.2336802270577105,0.36
196,0.3,0.19402985074626866,0.32666666666666666
196,0.4,0.13657561625582945,0.2733333333333333
196,0.5,0.0831918505942275,0.2866666666666667
196,0.6,0.061323032351521006,0.19333333333333333
196,0.75,0.03456495828367104,0.2
196,0.9,0.012863913337846988,0.17333333333333334
196,1.0,0.0,0.17333333333333334
24,0.0,1.0,1.0
24,0.05,0.6596638655462185,0.6333333333333333
24,0.1,0.4782608695652174,0.5533333333333333
24,0.15,0.36136662286465177,0.43333333333333335
24,0.2,0.2807991120976693,0.38
24,0.25,0.22930542340627974,0.3933333333333333
24,0.3,0.19269102990033224,0.3933333333333333
24,0.4,0.1260957518543493,0.3
24,0.5,0.09547738693467336,0.26
24,0.6,0.06041565973900435,0.21333333333333335
24,0.75,0.029940119760479042,0.2
24,0.9,0.011190233977619531,0.18666666666666668
24,1.0,0.0,0.16
12,0.0,1.0,1.0
12,0.05,0.6538461538461539,0.62
12,0.1,0.46710526315789475,0.48
12,0.15,0.3663624511082138,0.44666666666666666
12,0.2,0.28869374313940727,0.35333333333333333
12,0.25,0.2300380228136882,0.37333333333333335
12,0.3,0.18932443703085905,0.29333333333333333
12,0.4,0.12961719274680994,0.25333333333333335
12,0.5,0.09090909090909091,0.24666666666666667
12,0.6,0.0640346653827636,0.21333333333333335
12,0.75,0.03187250996015936,0.16666666666666666
12,0.9,0.012863913337846988,0.13333333333333333
12,1.0,0.0,0.12
25,0.0,1.0,1.0
25,0.05,0.6553191489361702,0.5866666666666667
25,0.1,0.47487844408427876,0.56
25,0.15,0.35714285714285715,0.4666666666666667
25,0.2,0.29180327868852457,0.36666666666666664
25,0.25,0.23440453686200377,0.3333333333333333
25,0.3,0.18524727577535624,0.3333333333333333
25,0.4,0.1278600269179004,0.26
25,0.5,0.0821529745042493,0.28
25,0.6,0.0640346653827636,0.22
25,0.75,0.03609678698928996,0.20666666666666667
25,0.9,0.01152542372881356,0.16666666666666666
25,1.0,0.0,0.19333333333333333
192,0.0,1.0,1.0
192,0.05,0.6582278481012658,0.6333333333333333
192,0.1,0.47317073170731705,0.4666666666666667
192,0.15,0.36883116883116884,0.43333333333333335
192,0.2,0.28634361233480177,0.3466666666666667
192,0.25,0.2479108635097493,0.3466666666666667
192,0.3,0.1933609958506224,0.3466666666666667
192,0.4,0.12135593220338983,0.24666666666666667
192,0.5,0.08732394366197183,0.20666666666666667
192,0.6,0.06896551724137931,0.20666666666666667
192,0.75,0.03264331210191083,0.19333333333333333
192,0.9,0.010519172039362062,0.19333333333333333
192,1.0,0.0,0.18
173,0.0,1.0,1.0
173,0.05,0.6531049250535332,0.6133333333333333
173,0.1,0.47058823529411764,0.46
173,0.15,0.35968379446640314,0.46
173,0.2,0.2751677852348993,0.32
173,0.25,0.2336802270577105,0.30666666666666664
173,0.3,0.18319327731092436,0.2733333333333333
173,0.4,0.11956521739130435,0.25333333333333335
173,0.5,0.09446618222470654,0.25333333333333335
173,0.6,0.06086956521739131,0.21333333333333335
173,0.75,0.03762376237623762,0.2
173,0.9,0.00816326530612245,0.15333333333333332
173,1.0,0.0,0.13333333333333333
191,0.0,1.0,1.0
191,0.05,0.6508620689655172,0.62
191,0.1,0.474025974025974,0.46
191,0.15,0.3704663212435233,0.4666666666666667
191,0.2,0.2879120879120879,0.4266666666666667
191,0.25,0.23076923076923078,0.35333333333333333
191,0.3,0.17905405405405406,0.3333333333333333
191,0.4,0.12491559756920999,0.25333333333333335
191,0.5,0.09497206703910614,0.2866666666666667
191,0.6,0.06177606177606178,0.26
191,0.75,0.03225806451612903,0.18
191,0.9,0.01152542372881356,0.19333333333333333
191,1.0,0.0,0.18
75,0.0,1.0,1.0
75,0.05,0.6610878661087866,0.6333333333333333
75,0.1,0.4790996784565916,0.49333333333333335
75,0.15,0.36883116883116884,0.4533333333333333
