clue_fraction,target,coinc_acc,coinc_sens,coinc_spec,unk_acc_initial_guess,unk_acc_dynamics_coinc,unk_acc_numpy_conflict_mask,exact_initial,exact_dynamics,exact_numpy
0.1,177,0.7567901234567901,0.17901234567901234,0.8209876543209876,0.0958904109589041,0.1232876712328767,0.0821917808219178,0,0,0
0.1,62,0.7503086419753087,0.22530864197530864,0.808641975308642,0.0684931506849315,0.0410958904109589,0.1095890410958904,0,0,0
0.1,47,0.7296296296296296,0.2993827160493827,0.7774348422496571,0.0958904109589041,0.136986301369863,0.0958904109589041,0,0,0
0.15,183,0.7555555555555555,0.29012345679012347,0.8072702331961591,0.10144927536231885,0.13043478260869565,0.08695652173913043,0,0,0
0.15,196,0.7283950617283951,0.25,0.7815500685871056,0.14492753623188406,0.15942028985507245,0.11594202898550725,0,0,0
0.15,18,0.7462962962962963,0.2222222222222222,0.8045267489711934,0.11594202898550725,0.14492753623188406,0.11594202898550725,0,0,0
0.15,118,0.8009259259259259,0.18518518518518517,0.8693415637860082,0.18840579710144928,0.057971014492753624,0.057971014492753624,0,0,0
0.15,16,0.7503086419753087,0.2222222222222222,0.8089849108367627,0.057971014492753624,0.11594202898550725,0.21739130434782608,0,0,0
0.15,0,0.7496913580246913,0.24382716049382716,0.8058984910836763,0.057971014492753624,0.11594202898550725,0.13043478260869565,0,0,0
0.15,108,0.7441358024691358,0.33641975308641975,0.789437585733882,0.10144927536231885,0.10144927536231885,0.08695652173913043,0,0,0
0.15,78,0.7583333333333333,0.21604938271604937,0.8185871056241426,0.08695652173913043,0.057971014492753624,0.10144927536231885,0,0,0
0.15,158,0.7305555555555555,0.20987654320987653,0.7884087791495199,0.08695652173913043,0.11594202898550725,0.057971014492753624,0,0,0
0.15,133,0.775,0.25617283950617287,0.8326474622770919,0.11594202898550725,0.15942028985507245,0.11594202898550725,0,0,0
0.15,34,0.7478395061728395,0.2222222222222222,0.806241426611797,0.07246376811594203,0.08695652173913043,0.14492753623188406,0,0,0
0.15,33,0.7290123456790123,0.25308641975308643,0.7818930041152263,0.14492753623188406,0.14492753623188406,0.08695652173913043,0,0,0
0.15,7,0.7354938271604938,0.23765432098765432,0.7908093278463649,0.08695652173913043,0.10144927536231885,0.11594202898550725,0,0,0
0.15,199,0.7888888888888889,0.1697530864197531,0.857681755829904,0.08695652173913043,0.057971014492753624,0.057971014492753624,0,0,0
0.15,1,0.7533950617283951,0.21604938271604937,0.8131001371742113,0.15942028985507245,0.11594202898550725,0.07246376811594203,0,0,0
0.15,162,0.7416666666666667,0.22530864197530864,0.799039780521262,0.10144927536231885,0.11594202898550725,0.13043478260869565,0,0,0
0.15,180,0.7845679012345679,0.20987654320987653,0.8484224965706447,0.11594202898550725,0.07246376811594203,0.08695652173913043,0,0,0
0.15,188,0.7493827160493827,0.24691358024691357,0.8052126200274349,0.10144927536231885,0.014492753623188406,0.08695652173913043,0,0,0
0.15,99,0.7549382716049383,0.29012345679012347,0.8065843621399177,0.11594202898550725,0.13043478260869565,0.10144927536231885,0,0,0
0.15,134,0.7358024691358025,0.2716049382716049,0.7873799725651578,0.14492753623188406,0.10144927536231885,0.028985507246376812,0,0,0
0.15,128,0.7574074074074074,0.2222222222222222,0.8168724279835391,0.18840579710144928,0.11594202898550725,0.14492753623188406,0,0,0
0.15,47,0.775,0.3117283950617284,0.8264746227709191,0.13043478260869565,0.10144927536231885,0.14492753623188406,0,0,0
0.15,185,0.7672839506172839,0.2716049382716049,0.8223593964334706,0.18840579710144928,0.11594202898550725,0.10144927536231885,0,0,0
0.15,58,0.7382716049382716,0.24691358024691357,0.7928669410150891,0.08695652173913043,0.08695652173913043,0.13043478260869565,0,0,0
0.15,113,0.7509259259259259,0.2808641975308642,0.8031550068587106,0.11594202898550725,0.08695652173913043,0.11594202898550725,0,0,0
0.19,43,0.8169753086419753,0.4166666666666667,0.8614540466392319,0.12121212121212122,0.18181818181818182,0.3181818181818182,0,0,0
0.19,94,0.7645061728395062,0.24691358024691357,0.8220164609053497,0.19696969696969696,0.18181818181818182,0.07575757575757576,0,0,0
0.19,16,0.7472222222222222,0.21604938271604937,0.806241426611797,0.12121212121212122,0.07575757575757576,0.13636363636363635,0,0,0
0.19,154,0.7660493827160494,0.25308641975308643,0.823045267489712,0.13636363636363635,0.13636363636363635,0.12121212121212122,0,0,0
0.19,144,0.7540123456790123,0.19135802469135801,0.8165294924554184,0.09090909090909091,0.16666666666666666,0.15151515151515152,0,0,0
0.19,41,0.7870370370370371,0.21604938271604937,0.850480109739369,0.10606060606060606,0.22727272727272727,0.09090909090909091,0,0,0
0.19,136,0.7552469135802469,0.23765432098765432,0.8127572016460906,0.15151515151515152,0.10606060606060606,0.10606060606060606,0,0,0
0.19,149,0.7814814814814814,0.24382716049382716,0.8412208504801097,0.18181818181818182,0.12121212121212122,0.10606060606060606,0,0,0
0.19,59,0.7891975308641975,0.1728395061728395,0.857681755829904,0.13636363636363635,0.045454545454545456,0.045454545454545456,0,0,0
0.19,14,0.7595679012345679,0.2777777777777778,0.8131001371742113,0.07575757575757576,0.15151515151515152,0.10606060606060606,0,0,0
0.19,182,0.7604938271604939,0.23148148148148148,0.8192729766803841,0.13636363636363635,0.2878787878787879,0.13636363636363635,0,0,0
0.19,77,0.7444444444444445,0.25925925925925924,0.7983539094650206,0.13636363636363635,0.09090909090909091,0.12121212121212122,0,0,0
0.19,97,0.9256172839506173,0.7685185185185185,0.9430727023319616,0.36363636363636365,1.0,1.0,0,1,1
0.19,78,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1
0.19,88,0.7620370370370371,0.2932098765432099,0.8141289437585734,0.09090909090909091,0.07575757575757576,0.13636363636363635,0,0,0
0.19,91,0.7768518518518519,0.2006172839506173,0.840877914951989,0.13636363636363635,0.10606060606060606,0.10606060606060606,0,0,0
0.19,39,0.7518518518518519,0.28703703703703703,0.8034979423868313,0.09090909090909091,0.10606060606060606,0.12121212121212122,0,0,0
0.19,57,0.8688271604938271,0.5802469135802469,0.9008916323731139,0.19696969696969696,1.0,1.0,0,1,1
0.19,139,0.7848765432098765,0.24382716049382716,0.8449931412894376,0.09090909090909091,0.09090909090909091,0.15151515151515152,0,0,0
0.19,47,0.7484567901234568,0.2345679012345679,0.8055555555555556,0.10606060606060606,0.06060606060606061,0.07575757575757576,0,0,0
0.19,112,0.7620370370370371,0.2932098765432099,0.8141289437585734,0.10606060606060606,0.09090909090909091,0.06060606060606061,0,0,0
0.19,148,0.792283950617284,0.3055555555555556,0.8463648834019204,0.16666666666666666,0.10606060606060606,0.15151515151515152,0,0,0
0.19,69,0.8203703703703704,0.4382716049382716,0.8628257887517147,0.21212121212121213,0.21212121212121213,0.10606060606060606,0,0,0
0.19,37,0.7861111111111111,0.2037037037037037,0.8508230452674898,0.10606060606060606,0.15151515151515152,0.06060606060606061,0,0,0
