sigma,target,initial_overlap,cleaned_overlap,iters,cell_acc,exact,recon_corr_initial,recon_corr_cleaned,recon_mse_cleaned
0.1,107,0.9666666666666667,1.0,2,1.0,1,0.9846285063750294,0.9999999999996344,7.917188e-14
0.1,154,1.0,1.0,1,1.0,1,0.9999999999995212,0.9999999999995212,8.21304e-14
0.1,182,0.9733333333333334,1.0,2,1.0,1,0.9857023637548783,0.9999999999995861,1.2611247e-13
0.1,24,0.9666666666666667,1.0,2,1.0,1,0.9867040017126569,0.9999999999996522,7.425936e-14
0.1,174,0.96,1.0,2,1.0,1,0.993886762146208,0.9999999999997291,1.2779934e-13
0.1,45,0.9933333333333333,1.0,2,1.0,1,0.998082578136592,0.9999999999997923,1.2179807e-13
0.1,42,0.96,1.0,2,1.0,1,0.9862653782513189,0.9999999999995491,1.4543529e-13
0.1,56,0.9666666666666667,1.0,2,1.0,1,0.9802054116697048,0.9999999999993835,1.714059e-13
0.1,107,0.9733333333333334,1.0,2,1.0,1,0.9871599997223375,0.9999999999996344,7.917188e-14
0.1,70,0.9733333333333334,1.0,2,1.0,1,0.9952693576125916,0.999999999999617,1.4656099e-13
0.1,7,0.9866666666666667,1.0,2,1.0,1,0.9978442405110068,0.9999999999998489,1.4896053e-13
0.1,96,0.9933333333333333,1.0,2,1.0,1,0.9986085148071789,0.9999999999997086,1.369963e-13
0.1,1,0.9733333333333334,1.0,2,1.0,1,0.9910053268377084,0.999999999999604,7.890283e-14
0.1,158,0.9666666666666667,1.0,2,1.0,1,0.9924054478606917,0.999999999999646,1.4889576e-13
0.1,153,0.9866666666666667,1.0,2,1.0,1,0.995689229477732,0.9999999999997058,8.822285e-14
0.1,2,0.9466666666666667,1.0,2,1.0,1,0.9901193386515202,0.999999999999697,1.4427833e-13
0.1,45,0.98,1.0,2,1.0,1,0.9938208776319875,0.9999999999997923,1.2179807e-13
0.1,61,1.0,1.0,1,1.0,1,0.9999999999996619,0.9999999999996619,1.2038367e-13
0.1,180,0.9733333333333334,1.0,2,1.0,1,0.9904044934343832,0.9999999999998158,1.1883317e-13
0.1,123,0.9866666666666667,1.0,2,1.0,1,0.9972825807795754,0.9999999999998547,8.7362273e-14
0.1,169,0.9733333333333334,1.0,2,1.0,1,0.997160558801385,0.9999999999998078,1.3998087e-13
0.1,187,0.9733333333333334,1.0,2,1.0,1,0.9950847390219113,0.9999999999998213,1.6674112e-13
0.1,61,0.98,1.0,2,1.0,1,0.9901381194063401,0.9999999999996619,1.2038367e-13
0.1,4,0.9466666666666667,1.0,2,1.0,1,0.9919763011038255,0.9999999999997857,1.3762704e-13
0.1,173,0.9866666666666667,1.0,2,1.0,1,0.9919356340667269,0.9999999999994288,8.485163e-14
0.1,182,0.9666666666666667,1.0,2,1.0,1,0.9805687692436521,0.9999999999995861,1.2611247e-13
