clue_fraction,target,acc_initial,acc_fixed,acc_numpy,exact_initial,exact_fixed,exact_numpy
0.27,6,0.1186440677966101,0.1525423728813559,0.1016949152542373,0,0,0
0.27,126,0.2033898305084746,0.5254237288135594,0.1186440677966101,0,0,0
0.27,165,0.2203389830508474,0.2372881355932203,0.135593220338983,0,0,0
0.27,40,0.1186440677966101,0.0,0.135593220338983,0,0,0
0.27,26,0.2711864406779661,0.1864406779661017,0.9661016949152542,0,0,0
0.27,61,0.0508474576271186,0.1016949152542373,0.1186440677966101,0,0,0
0.27,42,0.3050847457627119,1.0,1.0,0,1,1
0.27,146,1.0,1.0,1.0,1,1,1
0.27,195,0.0847457627118644,0.0847457627118644,0.1016949152542373,0,0,0
0.27,24,1.0,1.0,1.0,1,1,1
0.3,104,0.9298245614035088,1.0,1.0,0,1,1
0.3,68,0.3859649122807017,1.0,1.0,0,1,1
0.3,99,0.1929824561403508,0.1403508771929824,0.1929824561403508,0,0,0
0.3,37,0.1578947368421052,0.1403508771929824,0.1052631578947368,0,0,0
0.3,122,1.0,1.0,1.0,1,1,1
0.3,27,1.0,1.0,1.0,1,1,1
0.3,0,0.175438596491228,0.0701754385964912,0.087719298245614,0,0,0
0.3,156,1.0,1.0,1.0,1,1,1
0.3,29,0.1578947368421052,0.1052631578947368,0.087719298245614,0,0,0
0.3,196,1.0,1.0,1.0,1,1,1
0.3,186,0.0701754385964912,0.0526315789473684,0.1578947368421052,0,0,0
0.3,24,0.1403508771929824,0.1403508771929824,0.087719298245614,0,0,0
0.3,15,1.0,1.0,1.0,1,1,1
0.3,94,0.1052631578947368,0.087719298245614,0.0350877192982456,0,0,0
0.3,11,0.9824561403508772,1.0,1.0,0,1,1
0.3,198,0.9824561403508772,1.0,1.0,0,1,1
0.3,20,1.0,1.0,1.0,1,1,1
0.3,150,0.5789473684210527,1.0,1.0,0,1,1
0.3,178,1.0,1.0,1.0,1,1,1
0.3,169,0.9473684210526316,1.0,1.0,0,1,1
0.35,29,0.4528301886792453,1.0,1.0,0,1,1
0.35,112,1.0,1.0,1.0,1,1,1
0.35,44,0.4339622641509434,1.0,1.0,0,1,1
0.35,137,0.4528301886792453,1.0,1.0,0,1,1
0.35,146,1.0,1.0,1.0,1,1,1
0.35,90,0.8113207547169812,1.0,1.0,0,1,1
0.35,97,0.9245283018867924,1.0,1.0,0,1,1
0.35,175,1.0,1.0,1.0,1,1,1
0.35,1,1.0,1.0,1.0,1,1,1
0.35,86,0.4339622641509434,1.0,1.0,0,1,1
0.35,32,1.0,1.0,1.0,1,1,1
0.35,28,0.3773584905660377,1.0,1.0,0,1,1
0.35,20,0.2641509433962264,0.4150943396226415,0.1698113207547169,0,0,0
0.35,158,0.2264150943396226,0.1698113207547169,0.2264150943396226,0,0,0
0.35,84,1.0,1.0,1.0,1,1,1
0.35,61,0.1320754716981132,0.2075471698113207,0.1132075471698113,0,0,0
0.35,58,1.0,1.0,1.0,1,1,1
0.35,23,0.6037735849056604,1.0,1.0,0,1,1
0.35,71,1.0,1.0,1.0,1,1,1
0.35,111,0.9056603773584906,1.0,1.0,0,1,1
