density,noise_percent,iterations,converged,initial_acc,final_acc
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,15.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,20.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,25.0,2,True,1.0,1.0
0.002,30.0,2,True,1.0,1.0
