clue_fraction,n_known,target,iterations,top1_initial,top1_final,unknown_cell_acc_initial,unknown_cell_acc_final,exact_initial,exact_final
0.15,12,386,15,0,0,0.11594202898550725,0.14492753623188406,0,0
0.15,12,953,3,0,0,0.13043478260869565,0.11594202898550725,0,0
0.15,12,227,6,0,0,0.14492753623188406,0.10144927536231885,0,0
0.15,12,129,20,0,0,0.2028985507246377,0.08695652173913043,0,0
0.15,12,573,7,0,0,0.11594202898550725,0.15942028985507245,0,0
0.15,12,1129,20,0,0,0.043478260869565216,0.043478260869565216,0,0
0.15,12,1487,15,0,0,0.11594202898550725,0.057971014492753624,0,0
0.15,12,1626,20,0,0,0.14492753623188406,0.11594202898550725,0,0
0.15,12,901,11,0,0,0.11594202898550725,0.08695652173913043,0,0
0.15,12,1400,5,0,0,0.07246376811594203,0.14492753623188406,0,0
0.15,12,1333,7,0,0,0.08695652173913043,0.07246376811594203,0,0
0.15,12,552,5,0,0,0.10144927536231885,0.057971014492753624,0,0
0.15,12,1815,20,0,0,0.07246376811594203,0.15942028985507245,0,0
0.15,12,1119,6,0,0,0.13043478260869565,0.15942028985507245,0,0
0.15,12,1347,13,0,0,0.08695652173913043,0.14492753623188406,0,0
0.15,12,1930,18,0,0,0.11594202898550725,0.11594202898550725,0,0
0.15,12,1433,17,0,0,0.11594202898550725,0.10144927536231885,0,0
0.15,12,1289,8,0,0,0.08695652173913043,0.18840579710144928,0,0
0.15,12,184,10,0,0,0.11594202898550725,0.10144927536231885,0,0
0.15,12,1878,6,0,0,0.11594202898550725,0.11594202898550725,0,0
0.15,12,1523,18,0,0,0.07246376811594203,0.028985507246376812,0,0
0.15,12,579,10,0,0,0.11594202898550725,0.08695652173913043,0,0
0.15,12,1330,6,0,0,0.15942028985507245,0.13043478260869565,0,0
0.15,12,1217,9,0,0,0.15942028985507245,0.043478260869565216,0,0
0.15,12,1592,6,0,0,0.08695652173913043,0.13043478260869565,0,0
0.15,12,1462,20,1,0,0.14492753623188406,0.10144927536231885,0,0
0.15,12,466,17,0,0,0.11594202898550725,0.13043478260869565,0,0
0.15,12,374,10,0,0,0.14492753623188406,0.07246376811594203,0,0
0.15,12,156,12,0,0,0.13043478260869565,0.10144927536231885,0,0
0.15,12,754,11,0,0,0.11594202898550725,0.2028985507246377,0,0
0.15,12,239,14,0,0,0.14492753623188406,0.2028985507246377,0,0
0.15,12,298,20,0,0,0.10144927536231885,0.07246376811594203,0,0
0.15,12,522,5,0,0,0.10144927536231885,0.10144927536231885,0,0
0.15,12,461,11,0,0,0.10144927536231885,0.14492753623188406,0,0
0.15,12,1179,9,0,0,0.10144927536231885,0.057971014492753624,0,0
0.15,12,1076,20,0,0,0.13043478260869565,0.10144927536231885,0,0
0.15,12,1354,20,0,0,0.11594202898550725,0.14492753623188406,0,0
0.15,12,675,4,0,0,0.11594202898550725,0.057971014492753624,0,0
0.15,12,710,3,0,0,0.17391304347826086,0.08695652173913043,0,0
0.15,12,1749,17,0,0,0.11594202898550725,0.13043478260869565,0,0
0.15,12,457,6,0,0,0.10144927536231885,0.11594202898550725,0,0
