dataset,sigma,target,cleaned_overlap,exact,knn_exact
MNIST,0.1,113,1.0,1,1
MNIST,0.1,108,1.0,1,1
MNIST,0.1,56,1.0,1,1
MNIST,0.1,50,1.0,1,1
MNIST,0.1,27,1.0,1,1
MNIST,0.1,103,1.0,1,1
MNIST,0.1,48,1.0,1,1
MNIST,0.1,131,1.0,1,1
MNIST,0.1,92,1.0,1,1
MNIST,0.1,155,1.0,1,1
MNIST,0.1,155,1.0,1,1
MNIST,0.1,93,1.0,1,1
MNIST,0.1,40,1.0,1,1
MNIST,0.1,83,1.0,1,1
MNIST,0.1,170,1.0,1,1
MNIST,0.1,76,1.0,1,1
MNIST,0.1,154,1.0,1,1
MNIST,0.1,14,1.0,1,1
MNIST,0.1,197,1.0,1,1
MNIST,0.1,38,1.0,1,1
MNIST,0.1,128,1.0,1,1
MNIST,0.1,59,1.0,1,1
MNIST,0.1,29,1.0,1,1
MNIST,0.1,48,1.0,1,1
MNIST,0.1,138,1.0,1,1
MNIST,0.1,167,1.0,1,1
MNIST,0.1,88,1.0,1,1
MNIST,0.1,18,1.0,1,1
MNIST,0.1,187,1.0,1,1
MNIST,0.1,42,1.0,1,1
MNIST,0.1,23,1.0,1,1
MNIST,0.1,134,1.0,1,1
MNIST,0.1,160,1.0,1,1
MNIST,0.1,101,1.0,1,1
MNIST,0.1,93,1.0,1,1
MNIST,0.1,96,1.0,1,1
MNIST,0.1,106,1.0,1,1
MNIST,0.1,102,1.0,1,1
MNIST,0.1,174,1.0,1,1
MNIST,0.1,48,1.0,1,1
MNIST,0.1,158,1.0,1,1
MNIST,0.1,142,1.0,1,1
MNIST,0.1,167,1.0,1,1
MNIST,0.1,188,1.0,1,1
MNIST,0.1,119,1.0,1,1
MNIST,0.1,137,1.0,1,1
MNIST,0.1,150,1.0,1,1
MNIST,0.1,161,1.0,1,1
MNIST,0.1,21,1.0,1,1
MNIST,0.1,7,1.0,1,1
MNIST,0.1,67,1.0,1,1
MNIST,0.1,87,1.0,1,1
MNIST,0.1,101,1.0,1,1
MNIST,0.1,184,1.0,1,1
MNIST,0.1,134,1.0,1,1
MNIST,0.1,34,1.0,1,1
MNIST,0.1,73,1.0,1,1
MNIST,0.1,193,1.0,1,1
MNIST,0.1,91,1.0,1,1
MNIST,0.1,182,1.0,1,1
MNIST,0.1,166,1.0,1,1
MNIST,0.1,149,1.0,1,1
MNIST,0.1,102,1.0,1,1
MNIST,0.1,78,1.0,1,1
MNIST,0.1,69,1.0,1,1
MNIST,0.1,127,1.0,1,1
MNIST,0.1,61,1.0,1,1
MNIST,0.1,157,1.0,1,1
MNIST,0.1,130,1.0,1,1
MNIST,0.1,56,1.0,1,1
MNIST,0.1,47,1.0,1,1
MNIST,0.1,105,1.0,1,1
MNIST,0.1,88,1.0,1,1
MNIST,0.1,81,1.0,1,1
MNIST,0.1,133,1.0,1,1
MNIST,0.1,110,1.0,1,1
MNIST,0.1,144,1.0,1,1
MNIST,0.1,193,1.0,1,1
MNIST,0.1,105,1.0,1,1
MNIST,0.1,193,1.0,1,1
MNIST,0.1,34,1.0,1,1
MNIST,0.1,190,1.0,1,1
MNIST,0.1,146,1.0,1,1
MNIST,0.1,84,1.0,1,1
MNIST,0.1,11,1.0,1,1
MNIST,0.1,81,1.0,1,1
MNIST,0.1,76,1.0,1,1
MNIST,0.1,3,1.0,1,1
MNIST,0.1,184,1.0,1,1
MNIST,0.1,183,1.0,1,1
MNIST,0.1,164,1.0,1,1
MNIST,0.1,140,1.0,1,1
MNIST,0.1,25,1.0,1,1
MNIST,0.1,121,1.0,1,1
MNIST,0.1,145,1.0,1,1
MNIST,0.1,33,1.0,1,1
MNIST,0.2,177,1.0,1,1
MNIST,0.2,74,1.0,1,1
MNIST,0.2,59,1.0,1,1
MNIST,0.2,119,1.0,1,1
MNIST,0.2,121,1.0,1,1
MNIST,0.2,28,1.0,1,1
MNIST,0.2,106,1.0,1,1
MNIST,0.2,35,1.0,1,1
MNIST,0.2,25,1.0,1,1
MNIST,0.2,113,1.0,1,1
MNIST,0.2,174,1.0,1,1
MNIST,0.2,48,1.0,1,1
MNIST,0.2,199,1.0,1,1
MNIST,0.2,41,1.0,1,1
MNIST,0.2,172,1.0,1,1
MNIST,0.2,143,1.0,1,1
MNIST,0.2,95,1.0,1,1
MNIST,0.2,92,1.0,1,1
MNIST,0.2,106,1.0,1,1
MNIST,0.2,188,1.0,1,1
MNIST,0.2,119,1.0,1,1
MNIST,0.2,0,1.0,1,1
MNIST,0.2,149,1.0,1,1
MNIST,0.2,113,1.0,1,1
MNIST,0.2,128,1.0,1,1
MNIST,0.2,1,1.0,1,1
MNIST,0.2,27,1.0,1,1
MNIST,0.2,90,1.0,1,1
MNIST,0.2,191,1.0,1,1
MNIST,0.2,1,1.0,1,1
MNIST,0.2,174,1.0,1,1
MNIST,0.2,8,1.0,1,1
MNIST,0.2,40,1.0,1,1
MNIST,0.2,7,1.0,1,1
MNIST,0.2,131,1.0,1,1
MNIST,0.2,128,1.0,1,1
MNIST,0.2,138,1.0,1,1
MNIST,0.2,109,1.0,1,1
MNIST,0.2,182,1.0,1,1
MNIST,0.2,105,1.0,1,1
MNIST,0.2,158,1.0,1,1
MNIST,0.2,142,1.0,1,1
MNIST,0.2,155,1.0,1,1
MNIST,0.2,28,1.0,1,1
MNIST,0.2,186,1.0,1,1
MNIST,0.2,100,1.0,1,1
MNIST,0.2,79,1.0,1,1
MNIST,0.2,124,1.0,1,1
MNIST,0.2,181,1.0,1,1
MNIST,0.2,173,1.0,1,1
MNIST,0.2,14,1.0,1,1
MNIST,0.2,174,1.0,1,1
MNIST,0.2,148,1.0,1,1
MNIST,0.2,55,1.0,1,1
MNIST,0.2,162,1.0,1,1
MNIST,0.2,148,1.0,1,1
MNIST,0.2,47,1.0,1,1
MNIST,0.2,134,1.0,1,1
MNIST,0.2,34,1.0,1,1
MNIST,0.2,194,1.0,1,1
MNIST,0.2,128,1.0,1,1
MNIST,0.2,165,1.0,1,1
MNIST,0.2,97,1.0,1,1
MNIST,0.2,100,1.0,1,1
MNIST,0.2,130,1.0,1,1
MNIST,0.2,49,1.0,1,1
MNIST,0.2,152,1.0,1,1
MNIST,0.2,157,1.0,1,1
MNIST,0.2,34,1.0,1,1
MNIST,0.2,142,1.0,1,1
MNIST,0.2,127,1.0,1,1
MNIST,0.2,74,1.0,1,1
MNIST,0.2,179,1.0,1,1
MNIST,0.2,170,1.0,1,1
MNIST,0.2,11,1.0,1,1
MNIST,0.2,197,1.0,1,1
MNIST,0.2,80,1.0,1,1
MNIST,0.2,104,1.0,1,1
MNIST,0.2,130,1.0,1,1
MNIST,0.2,3,1.0,1,1
MNIST,0.2,73,1.0,1,1
MNIST,0.2,174,1.0,1,1
MNIST,0.2,176,1.0,1,1
MNIST,0.2,157,1.0,1,1
MNIST,0.2,75,1.0,1,1
MNIST,0.2,55,1.0,1,1
MNIST,0.2,187,1.0,1,1
MNIST,0.2,78,1.0,1,1
MNIST,0.2,121,1.0,1,1
MNIST,0.2,61,1.0,1,1
MNIST,0.2,27,1.0,1,1
MNIST,0.2,102,1.0,1,1
MNIST,0.2,191,1.0,1,1
MNIST,0.2,50,1.0,1,1
MNIST,0.2,93,1.0,1,1
MNIST,0.2,57,1.0,1,1
MNIST,0.2,43,1.0,1,1
MNIST,0.2,132,1.0,1,1
MNIST,0.2,84,1.0,1,1
MNIST,0.2,86,1.0,1,1
MNIST,0.2,171,1.0,1,1
MNIST,0.2,144,1.0,1,1
MNIST,0.2,144,1.0,1,1
MNIST,0.2,183,1.0,1,1
MNIST,0.2,97,1.0,1,1
MNIST,0.2,1,1.0,1,1
MNIST,0.2,136,1.0,1,1
MNIST,0.2,173,1.0,1,1
MNIST,0.2,17,1.0,1,1
MNIST,0.2,166,1.0,1,1
MNIST,0.2,52,1.0,1,1
MNIST,0.2,114,1.0,1,1
MNIST,0.2,1,1.0,1,1
MNIST,0.2,23,1.0,1,1
MNIST,0.2,157,1.0,1,1
MNIST,0.2,34,1.0,1,1
MNIST,0.2,196,1.0,1,1
MNIST,0.2,150,1.0,1,1
MNIST,0.2,120,1.0,1,1
MNIST,0.2,188,1.0,1,1
MNIST,0.2,148,1.0,1,1
MNIST,0.2,89,1.0,1,1
MNIST,0.2,14,1.0,1,1
MNIST,0.2,149,1.0,1,1
MNIST,0.2,190,1.0,1,1
MNIST,0.2,59,1.0,1,1
MNIST,0.2,120,1.0,1,1
MNIST,0.2,133,1.0,1,1
MNIST,0.2,56,1.0,1,1
MNIST,0.2,66,1.0,1,1
MNIST,0.2,90,1.0,1,1
MNIST,0.2,91,1.0,1,1
MNIST,0.2,174,1.0,1,1
MNIST,0.2,86,1.0,1,1
MNIST,0.2,188,1.0,1,1
MNIST,0.2,106,1.0,1,1
MNIST,0.2,43,1.0,1,1
MNIST,0.2,85,1.0,1,1
MNIST,0.2,181,1.0,1,1
MNIST,0.2,164,1.0,1,1
MNIST,0.2,3,1.0,1,1
MNIST,0.2,132,1.0,1,1
MNIST,0.2,45,1.0,1,1
MNIST,0.2,134,1.0,1,1
MNIST,0.2,73,1.0,1,1
MNIST,0.2,77,1.0,1,1
MNIST,0.2,165,1.0,1,1
MNIST,0.2,26,1.0,1,1
MNIST,0.2,53,1.0,1,1
MNIST,0.2,29,1.0,1,1
MNIST,0.2,77,1.0,1,1
MNIST,0.2,61,1.0,1,1
MNIST,0.2,166,1.0,1,1
MNIST,0.2,28,1.0,1,1
MNIST,0.2,131,1.0,1,1
MNIST,0.2,91,1.0,1,1
MNIST,0.2,102,1.0,1,1
MNIST,0.2,117,1.0,1,1
MNIST,0.2,56,1.0,1,1
MNIST,0.2,100,1.0,1,1
MNIST,0.2,160,1.0,1,1
MNIST,0.2,166,1.0,1,1
MNIST,0.2,155,1.0,1,1
MNIST,0.2,5,1.0,1,1
MNIST,0.2,68,1.0,1,1
MNIST,0.2,117,1.0,1,1
MNIST,0.2,118,1.0,1,1
MNIST,0.2,177,1.0,1,1
MNIST,0.2,32,1.0,1,1
MNIST,0.2,152,1.0,1,1
MNIST,0.2,182,1.0,1,1
MNIST,0.2,178,1.0,1,1
MNIST,0.2,198,1.0,1,1
MNIST,0.2,94,1.0,1,1
MNIST,0.2,0,1.0,1,1
MNIST,0.2,172,1.0,1,1
MNIST,0.2,29,1.0,1,1
MNIST,0.2,75,1.0,1,1
MNIST,0.2,192,1.0,1,1
MNIST,0.2,119,1.0,1,1
MNIST,0.2,180,1.0,1,1
MNIST,0.2,52,1.0,1,1
MNIST,0.2,87,1.0,1,1
MNIST,0.2,74,1.0,1,1
MNIST,0.2,143,1.0,1,1
MNIST,0.2,101,1.0,1,1
MNIST,0.2,155,1.0,1,1
MNIST,0.2,22,1.0,1,1
MNIST,0.2,7,1.0,1,1
MNIST,0.2,191,1.0,1,1
MNIST,0.2,198,1.0,1,1
MNIST,0.2,92,1.0,1,1
MNIST,0.2,103,1.0,1,1
MNIST,0.2,91,1.0,1,1
MNIST,0.2,103,1.0,1,1
MNIST,0.2,175,1.0,1,1
MNIST,0.2,58,1.0,1,1
MNIST,0.2,78,1.0,1,1
MNIST,0.2,170,1.0,1,1
MNIST,0.2,6,1.0,1,1
MNIST,0.3,38,1.0,1,1
MNIST,0.3,28,1.0,1,1
MNIST,0.3,143,1.0,1,1
MNIST,0.3,13,1.0,1,1
MNIST,0.3,3,1.0,1,1
MNIST,0.3,126,1.0,1,1
MNIST,0.3,79,1.0,1,1
MNIST,0.3,2,1.0,1,1
MNIST,0.3,107,1.0,1,1
MNIST,0.3,5,1.0,1,1
MNIST,0.3,182,1.0,1,1
MNIST,0.3,66,1.0,1,1
MNIST,0.3,154,1.0,1,1
MNIST,0.3,93,1.0,1,1
MNIST,0.3,25,1.0,1,1
MNIST,0.3,22,1.0,1,1
MNIST,0.3,138,1.0,1,1
MNIST,0.3,119,1.0,1,1
MNIST,0.3,174,1.0,1,1
MNIST,0.3,25,1.0,1,1
MNIST,0.3,112,1.0,1,1
MNIST,0.3,85,1.0,1,1
MNIST,0.3,141,1.0,1,1
MNIST,0.3,41,1.0,1,1
MNIST,0.3,65,1.0,1,1
MNIST,0.3,149,1.0,1,1
MNIST,0.3,8,1.0,1,1
MNIST,0.3,129,1.0,1,1
MNIST,0.3,110,1.0,1,1
MNIST,0.3,72,0.23333333333333334,0,1
MNIST,0.3,168,1.0,1,1
MNIST,0.3,14,1.0,1,1
MNIST,0.3,97,1.0,1,1
MNIST,0.3,77,1.0,1,1
MNIST,0.3,93,1.0,1,1
MNIST,0.3,124,1.0,1,1
MNIST,0.3,194,1.0,1,1
MNIST,0.3,139,1.0,1,1
MNIST,0.3,150,1.0,1,1
MNIST,0.3,194,1.0,1,1
MNIST,0.3,196,1.0,1,1
MNIST,0.3,173,1.0,1,1
MNIST,0.3,103,1.0,1,1
MNIST,0.3,115,1.0,1,1
MNIST,0.3,121,1.0,1,1
MNIST,0.3,91,1.0,1,1
MNIST,0.3,92,1.0,1,1
MNIST,0.3,45,1.0,1,1
MNIST,0.3,76,1.0,1,1
MNIST,0.3,84,1.0,1,1
MNIST,0.3,87,1.0,1,1
MNIST,0.3,77,1.0,1,1
MNIST,0.3,64,1.0,1,1
MNIST,0.3,71,1.0,1,1
MNIST,0.3,133,1.0,1,1
MNIST,0.3,65,1.0,1,1
MNIST,0.3,7,1.0,1,1
MNIST,0.3,172,1.0,1,1
MNIST,0.3,150,1.0,1,1
MNIST,0.3,160,1.0,1,1
MNIST,0.3,125,1.0,1,1
MNIST,0.3,184,1.0,1,1
MNIST,0.3,126,1.0,1,1
MNIST,0.3,55,1.0,1,1
MNIST,0.3,36,1.0,1,1
MNIST,0.3,40,1.0,1,1
MNIST,0.3,117,1.0,1,1
MNIST,0.3,140,1.0,1,1
MNIST,0.3,59,1.0,1,1
MNIST,0.3,143,1.0,1,1
MNIST,0.3,152,1.0,1,1
MNIST,0.3,39,1.0,1,1
MNIST,0.3,169,1.0,1,1
MNIST,0.3,93,1.0,1,1
MNIST,0.3,24,1.0,1,1
MNIST,0.3,33,1.0,1,1
MNIST,0.3,55,1.0,1,1
MNIST,0.3,160,1.0,1,1
MNIST,0.3,67,1.0,1,1
MNIST,0.3,191,1.0,1,1
MNIST,0.3,176,1.0,1,1
MNIST,0.3,179,1.0,1,1
MNIST,0.3,187,1.0,1,1
MNIST,0.3,61,1.0,1,1
MNIST,0.3,67,1.0,1,1
MNIST,0.3,89,1.0,1,1
MNIST,0.3,162,1.0,1,1
MNIST,0.3,137,1.0,1,1
