sigma,true_class,overlap_W_IH_vs_target,overlap_W_IMG_self_consistency
0.1,9,0.5733333333333334,0.9133333333333333
0.1,4,0.013333333333333334,0.9
0.1,6,0.66,0.8666666666666667
0.1,3,0.23333333333333334,0.9
0.1,1,0.4,0.8266666666666667
0.1,7,0.4666666666666667,0.8533333333333334
0.1,5,0.7,0.88
0.1,2,0.013333333333333334,0.8933333333333333
0.1,9,0.11333333333333333,0.86
0.1,1,0.30666666666666664,0.8733333333333333
0.1,3,0.3933333333333333,0.8533333333333334
0.1,3,0.2,0.8666666666666667
0.1,6,0.3333333333333333,0.84
0.1,6,0.02,0.9066666666666666
0.1,5,0.15333333333333332,0.8933333333333333
0.1,5,0.16666666666666666,0.9066666666666666
0.1,6,0.8333333333333334,0.9333333333333333
0.1,5,0.18666666666666668,0.86
0.1,3,0.7,0.8933333333333333
0.1,2,0.18666666666666668,0.8733333333333333
0.2,3,0.06,0.7333333333333333
0.2,3,0.22,0.76
0.2,8,0.18666666666666668,0.7266666666666667
0.2,7,0.42,0.7666666666666667
0.2,7,0.17333333333333334,0.8066666666666666
0.2,2,0.72,0.7733333333333333
0.2,6,0.006666666666666667,0.8266666666666667
0.2,9,0.2,0.74
0.2,2,0.05333333333333334,0.74
0.2,8,0.22666666666666666,0.78
0.2,1,0.16666666666666666,0.7666666666666667
0.2,4,0.7466666666666667,0.76
0.2,8,0.08666666666666667,0.7933333333333333
0.2,9,0.29333333333333333,0.7466666666666667
0.2,7,0.25333333333333335,0.72
0.2,8,0.12666666666666668,0.7866666666666666
0.2,8,0.02,0.82
0.2,9,0.10666666666666667,0.7533333333333333
0.2,3,0.08,0.6733333333333333
0.2,8,0.03333333333333333,0.78
0.2,5,0.3,0.7466666666666667
0.2,1,0.52,0.72
0.2,4,0.6933333333333334,0.7733333333333333
0.2,6,0.6,0.7533333333333333
0.2,7,0.24666666666666667,0.7666666666666667
0.2,4,0.5733333333333334,0.7466666666666667
0.2,4,0.14666666666666667,0.72
0.2,8,0.15333333333333332,0.78
0.2,4,0.29333333333333333,0.7666666666666667
0.2,8,0.02666666666666667,0.7133333333333334
0.2,3,0.18,0.7733333333333333
0.2,1,0.46,0.7266666666666667
0.2,8,0.16666666666666666,0.7466666666666667
0.2,4,0.66,0.6466666666666666
0.2,2,0.02666666666666667,0.8133333333333334
0.2,1,0.6,0.72
0.2,7,0.10666666666666667,0.7133333333333334
0.2,1,0.24,0.6866666666666666
0.2,3,0.15333333333333332,0.78
0.2,9,0.3933333333333333,0.7466666666666667
0.2,1,0.2733333333333333,0.7133333333333334
0.2,8,0.09333333333333334,0.7266666666666667
