M,noise_percent,iterations,converged,initial_acc,final_acc
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,2,True,1.0,1.0
2000,38.0,3,True,0.8395061728395061,1.0
2000,40.0,10,True,0.09876543209876543,0.06172839506172839
2000,40.0,3,True,0.5185185185185185,1.0
2000,40.0,15,True,0.04938271604938271,0.09876543209876543
2000,40.0,3,True,0.41975308641975306,1.0
2000,40.0,20,True,0.1111111111111111,0.08641975308641975
2000,40.0,4,True,0.20987654320987653,1.0
2000,40.0,12,True,0.1111111111111111,0.14814814814814814
2000,40.0,2,True,1.0,1.0
2000,40.0,8,True,0.12345679012345678,0.04938271604938271
2000,40.0,7,True,0.32098765432098764,0.09876543209876543
2000,40.0,3,True,0.4444444444444444,1.0
2000,40.0,3,True,0.5061728395061729,1.0
2000,40.0,20,False,0.16049382716049382,0.08641975308641975
2000,40.0,9,True,0.14814814814814814,0.04938271604938271
2000,40.0,4,True,0.19753086419753085,0.07407407407407407
2000,40.0,3,True,0.8024691358024691,1.0
2000,40.0,14,True,0.18518518518518517,0.2345679012345679
2000,40.0,2,True,1.0,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,3,True,0.4444444444444444,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,3,True,0.30864197530864196,1.0
2000,40.0,5,True,0.19753086419753085,0.12345679012345678
2000,40.0,3,True,0.30864197530864196,1.0
2000,40.0,17,True,0.12345679012345678,0.12345679012345678
2000,40.0,6,True,0.16049382716049382,0.06172839506172839
2000,40.0,3,True,0.2716049382716049,1.0
2000,40.0,3,True,0.6790123456790124,1.0
2000,40.0,3,True,0.20987654320987653,1.0
2000,40.0,12,True,0.13580246913580246,0.16049382716049382
2000,40.0,3,True,0.8518518518518519,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,3,True,0.5061728395061729,1.0
2000,40.0,7,True,0.2839506172839506,0.08641975308641975
2000,40.0,3,True,0.9753086419753086,1.0
2000,40.0,3,True,0.6790123456790124,1.0
2000,40.0,5,True,0.20987654320987653,1.0
2000,40.0,3,True,0.24691358024691357,1.0
2000,40.0,8,True,0.1728395061728395,0.09876543209876543
2000,40.0,3,True,0.3950617283950617,1.0
2000,40.0,3,True,0.12345679012345678,1.0
2000,40.0,3,True,0.3333333333333333,1.0
2000,40.0,3,True,0.9382716049382716,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,2,True,1.0,1.0
2000,40.0,3,True,0.5308641975308642,1.0
2000,40.0,3,True,0.41975308641975306,1.0
2000,40.0,13,True,0.14814814814814814,0.1728395061728395
2000,42.0,19,True,0.19753086419753085,0.12345679012345678
2000,42.0,3,True,0.691358024691358,1.0
2000,42.0,4,True,0.16049382716049382,1.0
2000,42.0,20,False,0.18518518518518517,0.12345679012345678
2000,42.0,4,True,0.18518518518518517,1.0
2000,42.0,2,True,1.0,1.0
2000,42.0,3,True,0.3333333333333333,1.0
2000,42.0,5,True,0.14814814814814814,0.08641975308641975
2000,42.0,4,True,0.18518518518518517,1.0
2000,42.0,3,True,0.12345679012345678,0.14814814814814814
2000,42.0,2,True,1.0,1.0
2000,42.0,20,False,0.08641975308641975,0.12345679012345678
2000,42.0,10,True,0.16049382716049382,0.16049382716049382
2000,42.0,14,True,0.12345679012345678,0.14814814814814814
2000,42.0,2,True,1.0,1.0
2000,42.0,12,True,0.1111111111111111,0.1111111111111111
2000,42.0,3,True,0.2716049382716049,1.0
2000,42.0,13,True,0.16049382716049382,0.12345679012345678
2000,42.0,12,True,0.16049382716049382,0.09876543209876543
2000,42.0,3,True,0.07407407407407407,0.04938271604938271
2000,42.0,3,True,0.2222222222222222,1.0
2000,42.0,11,True,0.14814814814814814,0.18518518518518517
2000,42.0,9,True,0.08641975308641975,0.16049382716049382
2000,42.0,15,True,0.12345679012345678,0.12345679012345678
2000,42.0,3,True,0.30864197530864196,1.0
2000,42.0,3,True,0.5679012345679012,1.0
2000,42.0,9,True,0.08641975308641975,0.12345679012345678
2000,42.0,15,True,0.08641975308641975,0.1111111111111111
2000,42.0,6,True,0.18518518518518517,0.12345679012345678
2000,42.0,20,False,0.18518518518518517,0.12345679012345678
2000,42.0,8,True,0.09876543209876543,0.08641975308641975
2000,42.0,3,True,0.16049382716049382,0.09876543209876543
2000,42.0,5,True,0.1728395061728395,0.14814814814814814
2000,42.0,3,True,0.4444444444444444,1.0
2000,42.0,3,True,0.2222222222222222,1.0
2000,42.0,8,True,0.1111111111111111,0.09876543209876543
2000,42.0,8,True,0.13580246913580246,0.19753086419753085
2000,42.0,20,False,0.16049382716049382,0.1111111111111111
2000,42.0,6,True,0.08641975308641975,0.06172839506172839
2000,42.0,4,True,0.12345679012345678,0.06172839506172839
2000,42.0,4,True,0.13580246913580246,1.0
2000,42.0,10,True,0.13580246913580246,0.04938271604938271
2000,42.0,6,True,0.14814814814814814,0.13580246913580246
2000,42.0,3,True,0.9012345679012346,1.0
2000,42.0,20,False,0.1111111111111111,0.1111111111111111
2000,42.0,10,True,0.24691358024691357,0.09876543209876543
2000,42.0,3,True,0.43209876543209874,1.0
2000,42.0,3,True,0.4444444444444444,1.0
2000,42.0,3,True,0.08641975308641975,0.1111111111111111
2000,42.0,8,True,0.13580246913580246,0.14814814814814814
2000,45.0,15,True,0.06172839506172839,0.12345679012345678
2000,45.0,18,True,0.1728395061728395,0.09876543209876543
2000,45.0,6,True,0.12345679012345678,0.16049382716049382
2000,45.0,4,True,0.13580246913580246,0.07407407407407407
2000,45.0,20,False,0.13580246913580246,0.07407407407407407
2000,45.0,6,True,0.1111111111111111,0.13580246913580246
2000,45.0,10,True,0.09876543209876543,0.1111111111111111
2000,45.0,8,True,0.1111111111111111,0.12345679012345678
2000,45.0,6,True,0.09876543209876543,0.13580246913580246
2000,45.0,8,True,0.1111111111111111,0.12345679012345678
2000,45.0,3,True,0.12345679012345678,0.07407407407407407
2000,45.0,3,True,0.07407407407407407,0.08641975308641975
2000,45.0,8,True,0.09876543209876543,0.13580246913580246
2000,45.0,4,True,0.12345679012345678,0.08641975308641975
2000,45.0,11,True,0.12345679012345678,0.07407407407407407
2000,45.0,16,True,0.1111111111111111,0.07407407407407407
2000,45.0,20,False,0.14814814814814814,0.1111111111111111
2000,45.0,20,True,0.1111111111111111,0.19753086419753085
2000,45.0,7,True,0.13580246913580246,0.09876543209876543
2000,45.0,14,True,0.1111111111111111,0.06172839506172839
2000,45.0,4,True,0.13580246913580246,0.024691358024691357
2000,45.0,13,True,0.18518518518518517,0.20987654320987653
2000,45.0,15,True,0.16049382716049382,0.12345679012345678
2000,45.0,4,True,0.12345679012345678,0.12345679012345678
2000,45.0,8,True,0.09876543209876543,0.12345679012345678
2000,45.0,6,True,0.09876543209876543,0.13580246913580246
2000,45.0,10,True,0.1111111111111111,0.09876543209876543
2000,45.0,8,True,0.08641975308641975,0.13580246913580246
2000,45.0,18,True,0.18518518518518517,0.13580246913580246
2000,45.0,20,False,0.09876543209876543,0.12345679012345678
2000,45.0,16,True,0.12345679012345678,0.1111111111111111
2000,45.0,4,True,0.12345679012345678,0.12345679012345678
2000,45.0,6,True,0.13580246913580246,0.08641975308641975
2000,45.0,19,True,0.09876543209876543,0.20987654320987653
2000,45.0,6,True,0.08641975308641975,0.1728395061728395
2000,45.0,6,True,0.1111111111111111,0.1111111111111111
2000,45.0,12,True,0.12345679012345678,0.09876543209876543
2000,45.0,7,True,0.09876543209876543,0.13580246913580246
2000,45.0,11,True,0.08641975308641975,0.14814814814814814
2000,45.0,6,True,0.14814814814814814,0.19753086419753085
2000,45.0,20,False,0.12345679012345678,0.04938271604938271
2000,45.0,11,True,0.08641975308641975,0.07407407407407407
2000,45.0,20,True,0.09876543209876543,0.18518518518518517
