sigma,target,acc_input_noisy,acc_dynamics,exact_dynamics
0.01,108,0.07017543859649122,0.05263157894736842,0
0.01,88,0.14035087719298245,0.08771929824561403,0
0.01,17,1.0,1.0,1
0.01,100,0.3157894736842105,1.0,1
0.01,144,0.45614035087719296,1.0,1
0.01,97,1.0,1.0,1
0.01,5,1.0,1.0,1
0.01,6,0.10526315789473684,0.08771929824561403,0
0.015,140,1.0,1.0,1
0.015,83,0.2807017543859649,0.08771929824561403,0
0.015,49,0.3508771929824561,0.2982456140350877,0
0.015,81,0.3333333333333333,1.0,1
0.015,163,1.0,1.0,1
0.015,27,1.0,1.0,1
0.015,105,1.0,1.0,1
0.015,184,0.12280701754385964,0.10526315789473684,0
0.015,87,0.22807017543859648,0.14035087719298245,0
0.015,62,0.49122807017543857,1.0,1
0.015,191,0.2982456140350877,1.0,1
0.015,119,0.19298245614035087,0.08771929824561403,0
0.015,108,0.07017543859649122,0.10526315789473684,0
0.015,88,0.14035087719298245,0.08771929824561403,0
0.015,17,1.0,1.0,1
0.015,100,0.3157894736842105,0.9649122807017544,0
0.015,144,0.45614035087719296,0.43859649122807015,0
0.015,97,1.0,1.0,1
0.015,5,1.0,1.0,1
0.015,6,0.10526315789473684,0.07017543859649122,0
0.02,140,1.0,1.0,1
0.02,83,0.2807017543859649,0.03508771929824561,0
0.02,49,0.3508771929824561,0.42105263157894735,0
0.02,81,0.3333333333333333,0.12280701754385964,0
0.02,163,1.0,1.0,1
0.02,27,1.0,1.0,1
0.02,105,1.0,1.0,1
0.02,184,0.12280701754385964,0.10526315789473684,0
0.02,87,0.22807017543859648,0.12280701754385964,0
0.02,62,0.49122807017543857,1.0,1
0.02,191,0.2982456140350877,1.0,1
0.02,119,0.19298245614035087,0.08771929824561403,0
0.02,108,0.07017543859649122,0.14035087719298245,0
0.02,88,0.14035087719298245,0.12280701754385964,0
0.02,17,1.0,1.0,1
0.02,100,0.3157894736842105,1.0,1
0.02,144,0.45614035087719296,1.0,1
0.02,97,1.0,1.0,1
0.02,5,1.0,1.0,1
0.02,6,0.10526315789473684,0.08771929824561403,0
0.03,140,1.0,1.0,1
0.03,83,0.2807017543859649,0.08771929824561403,0
0.03,49,0.3508771929824561,0.24561403508771928,0
0.03,81,0.3333333333333333,0.15789473684210525,0
0.03,163,1.0,1.0,1
0.03,27,1.0,1.0,1
0.03,105,1.0,1.0,1
0.03,184,0.12280701754385964,0.10526315789473684,0
0.03,87,0.22807017543859648,0.17543859649122806,0
0.03,62,0.49122807017543857,1.0,1
0.03,191,0.2982456140350877,0.9473684210526315,0
0.03,119,0.19298245614035087,0.10526315789473684,0
0.03,108,0.07017543859649122,0.12280701754385964,0
0.03,88,0.14035087719298245,0.07017543859649122,0
0.03,17,1.0,1.0,1
0.03,100,0.3157894736842105,1.0,1
0.03,144,0.45614035087719296,1.0,1
0.03,97,1.0,1.0,1
0.03,5,1.0,1.0,1
0.03,6,0.10526315789473684,0.10526315789473684,0
0.05,140,1.0,1.0,1
0.05,83,0.2807017543859649,0.08771929824561403,0
0.05,49,0.3508771929824561,0.22807017543859648,0
0.05,81,0.3333333333333333,0.3157894736842105,0
0.05,163,1.0,1.0,1
0.05,27,1.0,1.0,1
0.05,105,1.0,1.0,1
0.05,184,0.12280701754385964,0.17543859649122806,0
0.05,87,0.22807017543859648,0.12280701754385964,0
0.05,62,0.49122807017543857,1.0,1
0.05,191,0.2982456140350877,0.15789473684210525,0
0.05,119,0.19298245614035087,0.17543859649122806,0
0.05,108,0.07017543859649122,0.15789473684210525,0
0.05,88,0.14035087719298245,0.07017543859649122,0
0.05,17,1.0,1.0,1
0.05,100,0.3157894736842105,1.0,1
0.05,144,0.45614035087719296,1.0,1
0.05,97,1.0,1.0,1
0.05,5,1.0,1.0,1
0.05,6,0.10526315789473684,0.12280701754385964,0
