config,dataset,M,img_dim,sigma,target,initial_overlap,cleaned_overlap,exact,recon_corr_initial,recon_corr_cleaned
MNIST M=200 (baseline),mnist,200,784,0.3,25,0.46,1.0,1,0.8114961635210372,0.9999999999998251
MNIST M=200 (baseline),mnist,200,784,0.3,160,0.6266666666666667,1.0,1,0.9069464252481333,0.9999999999997242
MNIST M=200 (baseline),mnist,200,784,0.3,183,0.64,1.0,1,0.8995724872598301,0.9999999999996643
MNIST M=200 (baseline),mnist,200,784,0.3,25,0.6,1.0,1,0.9243281701344293,0.9999999999998251
MNIST M=200 (baseline),mnist,200,784,0.3,156,0.46,1.0,1,0.7834677686581132,0.9999999999995716
MNIST M=200 (baseline),mnist,200,784,0.3,148,0.5,1.0,1,0.8471367335125212,0.9999999999998176
MNIST M=200 (baseline),mnist,200,784,0.3,45,0.5066666666666667,1.0,1,0.8153632006527037,0.9999999999997923
MNIST M=200 (baseline),mnist,200,784,0.3,44,0.48,1.0,1,0.7546743603196772,0.9999999999996018
MNIST M=200 (baseline),mnist,200,784,0.3,54,0.54,1.0,1,0.8698270308318704,0.9999999999997466
MNIST M=200 (baseline),mnist,200,784,0.3,63,0.56,1.0,1,0.8154049837195742,0.9999999999996736
MNIST M=200 (baseline),mnist,200,784,0.3,167,0.5733333333333334,1.0,1,0.7316137799124676,0.9999999999995375
MNIST M=200 (baseline),mnist,200,784,0.3,146,0.62,1.0,1,0.7735129876128474,0.9999999999997532
MNIST M=200 (baseline),mnist,200,784,0.3,68,0.6533333333333333,1.0,1,0.7484891766757847,0.9999999999992965
MNIST M=200 (baseline),mnist,200,784,0.3,149,0.44666666666666666,1.0,1,0.7145070405209737,0.9999999999998174
MNIST M=200 (baseline),mnist,200,784,0.3,90,0.5866666666666667,1.0,1,0.825642755275785,0.9999999999993794
MNIST M=200 (baseline),mnist,200,784,0.3,165,0.52,1.0,1,0.7388909058457404,0.9999999999998149
MNIST M=200 (baseline),mnist,200,784,0.3,170,0.6533333333333333,1.0,1,0.9225582513145215,0.9999999999997601
MNIST M=200 (baseline),mnist,200,784,0.3,44,0.44,1.0,1,0.5931346164366333,0.9999999999996018
MNIST M=200 (baseline),mnist,200,784,0.3,176,0.41333333333333333,1.0,1,0.8014268071694857,0.9999999999997304
MNIST M=200 (baseline),mnist,200,784,0.3,197,0.46,1.0,1,0.7433340480599769,0.9999999999994842
MNIST M=200 (baseline),mnist,200,784,0.3,133,0.44,0.2,0,0.6077992990791811,0.33428598188024194
MNIST M=200 (baseline),mnist,200,784,0.3,128,0.6533333333333333,1.0,1,0.8838762549152837,0.9999999999998124
MNIST M=200 (baseline),mnist,200,784,0.3,44,0.68,1.0,1,0.8088596023297724,0.9999999999996018
MNIST M=200 (baseline),mnist,200,784,0.3,156,0.6066666666666667,1.0,1,0.8218244847219269,0.9999999999995716
MNIST M=200 (baseline),mnist,200,784,0.3,79,0.58,1.0,1,0.6819523830026331,0.9999999999990684
MNIST M=200 (baseline),mnist,200,784,0.3,34,0.6133333333333333,1.0,1,0.8846137717213559,0.9999999999996939
MNIST M=200 (baseline),mnist,200,784,0.3,87,0.5333333333333333,1.0,1,0.6981389332736041,0.9999999999997549
MNIST M=200 (baseline),mnist,200,784,0.3,127,0.46,1.0,1,0.6203230989924701,0.999999999999577
MNIST M=200 (baseline),mnist,200,784,0.3,31,0.56,1.0,1,0.8283886259256422,0.9999999999996771
MNIST M=200 (baseline),mnist,200,784,0.3,14,0.54,1.0,1,0.791403648043315,0.9999999999997486
MNIST M=200 (baseline),mnist,200,784,0.3,168,0.64,1.0,1,0.8976994578979139,0.9999999999997097
MNIST M=200 (baseline),mnist,200,784,0.3,133,0.58,1.0,1,0.6336665212170534,0.99999999999941
MNIST M=200 (baseline),mnist,200,784,0.3,25,0.5266666666666666,1.0,1,0.8453647170821984,0.9999999999998251
MNIST M=200 (baseline),mnist,200,784,0.3,194,0.5533333333333333,1.0,1,0.7415621720095761,0.9999999999995247
MNIST M=200 (baseline),mnist,200,784,0.3,1,0.46,1.0,1,0.7019751729959157,0.999999999999604
MNIST M=200 (baseline),mnist,200,784,0.3,129,0.54,1.0,1,0.8579858930187936,0.9999999999997303
MNIST M=200 (baseline),mnist,200,784,0.3,64,0.54,1.0,1,0.7373501253532525,0.9999999999996709
MNIST M=200 (baseline),mnist,200,784,0.3,57,0.49333333333333335,1.0,1,0.7297855060612644,0.9999999999993916
MNIST M=200 (baseline),mnist,200,784,0.4,89,0.48,1.0,1,0.7154404051309956,0.9999999999995456
MNIST M=200 (baseline),mnist,200,784,0.4,130,0.36,0.19333333333333333,0,0.590842543033539,0.28492063669784906
MNIST M=200 (baseline),mnist,200,784,0.4,137,0.44,1.0,1,0.6038625824828633,0.999999999999713
MNIST M=200 (baseline),mnist,200,784,0.4,81,0.48,1.0,1,0.7120358483985739,0.9999999999997923
MNIST M=200 (baseline),mnist,200,784,0.4,8,0.44666666666666666,1.0,1,0.6525416549615554,0.9999999999996491
MNIST M=200 (baseline),mnist,200,784,0.4,24,0.43333333333333335,1.0,1,0.7254648363072788,0.9999999999996522
MNIST M=200 (baseline),mnist,200,784,0.4,76,0.4533333333333333,1.0,1,0.7491568499227796,0.9999999999998106
MNIST M=200 (baseline),mnist,200,784,0.4,87,0.5,1.0,1,0.5910791658672294,0.9999999999997549
MNIST M=200 (baseline),mnist,200,784,0.4,37,0.5266666666666666,1.0,1,0.44522830753606324,0.9999999999996518
MNIST M=200 (baseline),mnist,200,784,0.4,1,0.41333333333333333,1.0,1,0.6889794527520646,0.999999999999604
MNIST M=200 (baseline),mnist,200,784,0.4,83,0.4866666666666667,1.0,1,0.7319929596699527,0.9999999999997398
MNIST M=200 (baseline),mnist,200,784,0.4,5,0.5533333333333333,1.0,1,0.7954131056755515,0.9999999999996532
MNIST M=200 (baseline),mnist,200,784,0.4,88,0.3933333333333333,1.0,1,0.7019014042274073,0.9999999999997368
MNIST M=200 (baseline),mnist,200,784,0.4,129,0.4,1.0,1,0.7845288650185309,0.9999999999997303
MNIST M=200 (baseline),mnist,200,784,0.4,102,0.5133333333333333,0.2866666666666667,0,0.7668633085506744,0.3315507652889786
MNIST M=200 (baseline),mnist,200,784,0.4,15,0.4,1.0,1,0.7390033754842573,0.9999999999998384
MNIST M=200 (baseline),mnist,200,784,0.4,96,0.4266666666666667,1.0,1,0.5780736549095414,0.9999999999997086
MNIST M=200 (baseline),mnist,200,784,0.4,177,0.46,1.0,1,0.7901622497237356,0.9999999999998018
MNIST M=200 (baseline),mnist,200,784,0.4,114,0.35333333333333333,0.21333333333333335,0,0.6947764765481096,0.4308413246405662
MNIST M=200 (baseline),mnist,200,784,0.4,104,0.48,1.0,1,0.7292267667141229,0.9999999999998244
MNIST M=200 (baseline),mnist,200,784,0.4,192,0.43333333333333335,1.0,1,0.6218723417882814,0.9999999999995847
MNIST M=200 (baseline),mnist,200,784,0.4,52,0.6866666666666666,1.0,1,0.6751546052994809,0.9999999999991129
MNIST M=200 (baseline),mnist,200,784,0.4,156,0.43333333333333335,1.0,1,0.6787865629587511,0.9999999999995716
MNIST M=200 (baseline),mnist,200,784,0.4,121,0.54,1.0,1,0.7932192402312568,0.9999999999995056
MNIST M=200 (baseline),mnist,200,784,0.4,199,0.38666666666666666,1.0,1,0.551313652103735,0.9999999999996606
MNIST M=200 (baseline),mnist,200,784,0.4,93,0.5333333333333333,1.0,1,0.6786423853611587,0.9999999999995731
MNIST M=200 (baseline),mnist,200,784,0.4,174,0.5066666666666667,1.0,1,0.746637686774293,0.9999999999997291
MNIST M=200 (baseline),mnist,200,784,0.4,3,0.4533333333333333,1.0,1,0.6742768472232722,0.9999999999996283
MNIST M=200 (baseline),mnist,200,784,0.4,177,0.36666666666666664,0.22,0,0.7632742171867344,0.3859948461224699
MNIST M=200 (baseline),mnist,200,784,0.4,166,0.3933333333333333,1.0,1,0.618807673826424,0.9999999999996254
MNIST M=200 (baseline),mnist,200,784,0.4,68,0.5,1.0,1,0.6475473859420143,0.9999999999992965
MNIST M=200 (baseline),mnist,200,784,0.4,183,0.5133333333333333,1.0,1,0.7245281342307347,0.9999999999996643
MNIST M=200 (baseline),mnist,200,784,0.4,93,0.4666666666666667,1.0,1,0.6407760937704791,0.9999999999995731
MNIST M=200 (baseline),mnist,200,784,0.4,16,0.4866666666666667,1.0,1,0.7313498674782907,0.9999999999995982
MNIST M=200 (baseline),mnist,200,784,0.4,7,0.4666666666666667,1.0,1,0.8340791848490918,0.9999999999998489
MNIST M=200 (baseline),mnist,200,784,0.4,100,0.43333333333333335,0.21333333333333335,0,0.8025902337547012,0.32592879805683383
MNIST M=200 (baseline),mnist,200,784,0.4,78,0.47333333333333333,1.0,1,0.7111343366566717,0.999999999999482
MNIST M=200 (baseline),mnist,200,784,0.4,26,0.43333333333333335,1.0,1,0.5255211426949641,0.9999999999992656
MNIST M=200 (baseline),mnist,200,784,0.4,186,0.35333333333333333,0.17333333333333334,0,0.7504194721801454,0.2062963314011723
MNIST M=200 (baseline),mnist,200,784,0.4,147,0.5,1.0,1,0.7593155427916647,0.9999999999997408
MNIST M=200 (baseline),mnist,200,784,0.5,102,0.38,0.24,0,0.6833084394878882,0.3911249169035685
MNIST M=200 (baseline),mnist,200,784,0.5,157,0.34,0.15333333333333332,0,0.6032750615789225,0.4494797060494519
MNIST M=200 (baseline),mnist,200,784,0.5,57,0.32666666666666666,0.25333333333333335,0,0.6037217822749689,0.23282221221031185
MNIST M=200 (baseline),mnist,200,784,0.5,128,0.44,1.0,1,0.7684248435293682,0.9999999999998124
MNIST M=200 (baseline),mnist,200,784,0.5,160,0.3333333333333333,0.22666666666666666,0,0.6385136554047216,0.2521822719792969
MNIST M=200 (baseline),mnist,200,784,0.5,167,0.38,1.0,1,0.4318246963658566,0.9999999999995375
